ID,Category,Difficulty,Customer Prompt,Reference Answer
1,Account Management,Easy,"I forgot my password. How can I reset it?","Click the ""Forgot Password"" option on the login page, enter your registered email address, and follow the instructions in the password reset email."
2,Account Management,Easy,"I can't log into my account.","Verify your email and password are correct. If the issue continues, use the password reset option or contact support."
3,Account Management,Easy,"My account is locked. What should I do?","Wait for the lock period to expire or contact customer support to verify your identity and unlock the account."
4,Account Management,Easy,"How do I change my email address?","Go to your account settings, update your email address, and verify the new email using the confirmation link."
5,Account Management,Medium,"I changed my email yesterday, and now I can't sign in.","Try logging in with your new email address. If the problem continues, contact support to verify your account and restore access."
6,Account Management,Medium,"I never received the verification email after signing up.","Check your spam folder, confirm the email address was entered correctly, and request a new verification email."
7,Account Management,Medium,"I accidentally deleted my account. Can I recover it?","Contact customer support immediately. Account recovery may be possible depending on company policies and the time since deletion."
8,Account Management,Medium,"Someone changed my account details without my permission.","Secure your account by resetting your password immediately and contact support to investigate unauthorized access."
9,Account Management,Hard,"I upgraded my subscription, changed my email, and now I can't log in or receive password reset emails.","Verify your identity with customer support so they can restore your account, update your email, and preserve your subscription information."
10,Account Management,Hard,"I lost access to both my email and two-factor authentication. How can I recover my account?","Contact customer support with proof of identity. Recovery usually requires identity verification before restoring account access."
11,Account Management,Easy,"How do I link my account to Facebook or Google?","Go to Account Settings, navigate to Linked Accounts, and select the service you want to link. Follow the authentication prompts to complete the link."
12,Account Management,Easy,"How can I permanently delete my account?","Go to your account settings, select 'Delete Account' or 'Close Account', and confirm the action. Note that this action is permanent and cannot be undone."
13,Account Management,Medium,"I have two accounts by mistake. Can I merge them?","Accounts cannot be merged directly. Please decide which account you wish to keep, and transfer any data or subscription manually, or contact support for help with paid features."
14,Account Management,Medium,"My account was suspended. How do I reactivate it?","Please check your email for the suspension notice which details the reason and steps to appeal. If no email was received, contact support."
15,Account Management,Easy,"How do I update my profile picture and display name?","Navigate to your profile settings, click on your profile picture to upload a new image, edit the name field, and click 'Save Changes'."
16,Account Management,Easy,"How do I update the phone number registered to my account?","Go to Account Settings, select Security, click 'Edit' next to your phone number, enter the new number, and verify it via the SMS code sent to you."
17,Account Management,Hard,"I need to transfer the ownership of my business account to a colleague.","Go to Account Settings, navigate to Users or billing, and invite the new owner. Once they accept, you can assign them the 'Owner' role and downgrade your access."
