Model Label,Model ID,Model Size,Developer,ID,Category,Difficulty,Prompt,Reference Answer,Response,Latency,Generated Tokens,Response Length,Tokens/sec,GPU Peak Memory GB,CPU Process Memory GB,BERTScore Precision,BERTScore Recall,BERTScore F1,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Inference Cost Score,Accuracy,Relevance,Completeness,Helpfulness
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,1,Account Management,Easy,I forgot my password. How can I reset it?,"Click the ""Forgot Password"" option on the login page, enter your registered email address, and follow the instructions in the password reset email.","To reset your password, please follow these steps:

1. Go to the login page of the website or application.
2. Click on the ""Forgot Password"" or ""Reset Password"" link.
3. Enter your registered email address or username.
4. Check your email inbox for a password reset email from the service.
5. Click on the provided link in the email to access the password reset page.
6. Enter a new password and confirm it.
7. Save the changes and log in with your new password.

If you encounter any issues during the process, please contact our customer support team for further assistance.",6.566848216000153,137,101,20.862367378341247,7.233949661254883,2.8890151977539062,0.85814345,0.9252972,0.8904561,0.3387096774193548,0.21311475409836067,0.22580645161290322,0.026161190928437276,47.50424942764654,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,2,Account Management,Easy,I can't log into my account.,"Verify your email and password are correct. If the issue continues, use the password reset option or contact support.",I'm sorry to hear that you're having trouble logging into your account. Let's try to resolve this issue together. Could you please provide me with your username or email address associated with the account?,1.7044784120000713,44,34,25.814348653656143,7.157774448394775,2.8891258239746094,0.84101665,0.8486271,0.84480476,0.17857142857142858,0.0,0.10714285714285714,0.008186841244220632,12.200272025254613,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,3,Account Management,Easy,My account is locked. What should I do?,Wait for the lock period to expire or contact customer support to verify your identity and unlock the account.,"I'm sorry to hear that your account is locked. To resolve this issue, please follow these steps:

1. Check your account for any security alerts or notifications that may provide more information about the lock.
2. Verify your identity by providing the required information, such as your username, email address, or phone number associated with the account.
3. If you have forgotten your password, use the ""Forgot Password"" feature to reset it.
4. If you're unable to resolve the issue on your own, contact our customer support team for further assistance.

We'll be happy to help you regain access to your account.",5.363247773000012,140,102,26.103586096617896,7.233949661254883,2.8899803161621094,0.8190396,0.88613915,0.8512692,0.22580645161290325,0.0819672131147541,0.16129032258064516,0.007707906540950735,38.79746441071944,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,4,Account Management,Easy,How do I change my email address?,"Go to your account settings, update your email address, and verify the new email using the confirmation link.","To change your email address, please follow these steps:

1. Log in to your account on our website or app.
2. Navigate to the ""Account Settings"" or ""Profile"" section.
3. Look for the ""Email"" or ""Contact Information"" option.
4. Click on ""Edit"" or ""Change"" next to your current email address.
5. Enter your new email address and confirm it by entering it again in the provided field.
6. Save the changes by clicking on ""Save"" or ""Update.""

Please note that the exact steps may vary depending on the platform you are using. If you encounter any issues, please contact our customer support team for further assistance.",5.777017340999919,150,106,25.964955814731404,7.233949661254883,2.890125274658203,0.83324564,0.91392756,0.8717237,0.24193548387096775,0.11475409836065574,0.16129032258064518,0.01742836871095376,41.79065263698995,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,5,Account Management,Medium,"I changed my email yesterday, and now I can't sign in.","Try logging in with your new email address. If the problem continues, contact support to verify your account and restore access.","I'm sorry to hear that you're having trouble signing in. To assist you, please ensure that you've updated your email address in your account settings. If you've already done this, try clearing your browser's cache and cookies, or sign out and sign back in. If the issue persists, please contact our support team for further assistance.",3.0047717420000026,77,56,25.62590659507072,7.1725029945373535,2.8998680114746094,0.85380393,0.90362597,0.8780088,0.3170731707317073,0.075,0.1951219512195122,0.012568995875621441,21.55173431739624,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,6,Account Management,Medium,I never received the verification email after signing up.,"Check your spam folder, confirm the email address was entered correctly, and request a new verification email.","I'm sorry to hear that you haven't received the verification email. Could you please confirm the email address you used during sign-up? It's possible there might be a typo or the email could be in your spam/junk folder. If you've checked there and still can't find it, I can assist you in resending the verification email.",3.116106876999993,81,56,25.993973633530217,7.1725029945373535,2.9000244140625,0.863415,0.91034573,0.8862595,0.3,0.1282051282051282,0.17500000000000002,0.05345988714629295,22.35028590658089,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,7,Account Management,Medium,I accidentally deleted my account. Can I recover it?,Contact customer support immediately. Account recovery may be possible depending on company policies and the time since deletion.,"Yes, you can recover your account. Please follow these steps:

1. Go to the login page of the website or app where you had your account.
2. Click on the ""Forgot Password"" or ""Can't access your account?"" link.
3. Enter the email address associated with your account and follow the instructions to reset your password.
4. Once you've reset your password, you can log in to your account and regain access.

If you're unable to recover your account using these steps, please contact customer support for further assistance.",4.712449587000037,123,88,26.10107497792931,7.188743591308594,2.900188446044922,0.80824804,0.8797194,0.8424706,0.12844036697247707,0.03738317757009346,0.07339449541284404,0.005467171224811248,33.87659176791135,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,8,Account Management,Medium,Someone changed my account details without my permission.,Secure your account by resetting your password immediately and contact support to investigate unauthorized access.,"I'm sorry to hear that your account details have been changed without your permission. To assist you further, could you please provide me with your account username or email address? We will investigate this issue and take the necessary steps to secure your account.",1.979384717999892,51,44,25.76558237326089,7.16079568862915,2.9003372192382812,0.82795167,0.8344311,0.8311787,0.23333333333333334,0.06896551724137931,0.16666666666666666,0.011649284259158212,14.173969554792054,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,9,Account Management,Hard,"I upgraded my subscription, changed my email, and now I can't log in or receive password reset emails.","Verify your identity with customer support so they can restore your account, update your email, and preserve your subscription information.","I'm sorry to hear that you're experiencing difficulties with your account. To assist you, please follow these steps:

1. Verify that you've updated your email address in the account settings.
2. Check your spam or junk folder for the password reset email.
3. If the email isn't there, try resetting your password using the ""Forgot Password"" link on the login page.
4. If you still can't access your account, contact our support team for further assistance.",4.365939114000184,114,76,26.111220753042133,7.189876556396484,2.9003524780273438,0.8234029,0.8750734,0.84845215,0.21782178217821782,0.0606060606060606,0.1386138613861386,0.007139456270504083,31.390563282404365,,,,
Microsoft Phi-3 Mini,microsoft/Phi-3-mini-4k-instruct,3.8B,Microsoft,10,Account Management,Hard,I lost access to both my email and two-factor authentication. How can I recover my account?,Contact customer support with proof of identity. Recovery usually requires identity verification before restoring account access.,"I'm sorry to hear that you're having trouble accessing your account. To recover your account, please follow these steps:

1. Visit our account recovery page.
2. Enter your registered email address and the last password you remember.
3. Click on ""Forgot Password"" and follow the instructions to reset your password.
4. Once you've reset your password, you'll be able to access your account again.

If you're still unable to recover your account, please contact our support team for further assistance.",4.494908282000097,117,80,26.02945213999752,7.1894989013671875,2.9005126953125,0.80808043,0.8615529,0.8339604,0.09900990099009901,0.0,0.039603960396039604,0.002694212814112345,32.31613815518597,,,,
